Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665450;Fröhlich, Susanne;Und ewig grüßt das Moppel-Ich;2010;255;Ratgeber;"Die Pfunde bleiben der Autorin des Bestsellers ""Moppel-Ich"" treu, nun will sie wenigstens ""ein fitter Moppel"" sein und analysiert umwerfend witzig den Abnehmwahn als Glücksfresser und Dünnsein als neue Religion."
M595665169;Früh, Sigrid / Walch, Paul (Hrsg.);Russiche Märchen: Zum Erzählen und Vorlesen;2006;190;Märchen;Russische Märchen  -  zum Erzählen und Vorlesen
M595661144;Gallay, Claudie;Die Brandungswelle;2010;557;Belletristik;Als Kind hat Lambert seine Eltern bei einem Bootsunglück verloren, sein kleiner Bruder ist seitdem vermisst. Nun kehrt er nach La Hague zurück, um herauszufinden, was damals wirklich geschah. Was wissen die Dorfbewohner wirklich über das Unglück? Kann es sein, dass sein Bruder noch lebt?
M595665847;Gantenberg, Michael;Zwischen allen Wolken;2010;327;Belletristik;Die junge Gesa will nach dem Abitur die verschlafene Nordseeinsel Nördrum verlassen, wo ihre Familie eine kleine Pension betreibt. Doch dann kommt ihr Bruder bei einem Fallschirmsprung ums Leben. Heiter-melancholischer Roman über das Erwachsenwerden.
M595665579;Gatti, Fabricio;Bilal;2009;457;Reportage;Als Illegaler auf dem Weg nach Europa
M595661249;Gauck, Joachim;Winter im Sommer, Frühling im Herbst;2009;344;Biografie;"Der 1. Bundesbeauftragte für die Stasi-Unterlagen erzählt anschaulich von seiner Kindheit und Jugend in der DDR, wie er in Widerspruch zum Regime geriet, schließlich das ""Neue Forum"" mitbegründete und nach der Wende zu einer Symbolfigur der Vergangenheitsbewältigung wurde."
M595661201 M601263781;Gavalda, Anna;Ein geschenkter Tag;2010;138;Belletristik;Eine spontane Landpartie wird für 4 Geschwister zu einem fröhlichen und rührenden Abschied von einem Stück Kindheitsglück.
M595661168;Geiger, Arno;Alles über Sally;2010;363;Belletristik;Minutiös beschriebenes und treffend charakterisiertes Psychogramm einer jahrzehntelangen Ehe- und Liebesbeziehung
M595661002;Golden, Arthur;Die Geisha;2006;572;Belletristik;Japan in den 20er und 30er Jahren: Die kleine Chiyo lebt in armseligen Verhältnissen in einem Fischerdorf, bis sie wegen ihrer Schönheit nach Kyoto verkauft wird, um dort zur Geisha ausgebildet zu werden.
M595660880;Grange, Jean-Chrstophe;Das Herz der Hölle;2009;778;Thriller;Bizarrer Thriller um Mörder, die zuvor selbst dem Tod nahe waren, und um eine sinistre Verschwörerbande, die im Auftrag des Bösen zu wirken scheint.
