Mediennummer;Autor;Titel;Erscheinungsjahr;Umfang;Genre;Kurze Inhaltsangabe
M595665506;Eckardt, Emanuel;Hamburg. Eine Liebeserklärung;2010;224;Hamburg;Millionenmetropole und Hansestadt an der Elbe, quirlige Großstadt und verschlafene Vororte, Völkergemisch und hanseatische Tradition. Und natürlich immer wieder und vor allem: der Hafen.
M595665498;Engelhardt, Marc;Der Hüter der zerfallenden Bücher: afrikanische Schicksale;2009;132;Aufsatzsammlung;Reportagen vom beschwerlichen Alltag der Menschen auf dem Schwarzen Kontinent, die trotzdem ihren Lebensmut bewahren.
M595664410;Everett, Rupert;Rote Teppiche und andere Bananenschalen;2009;491;Autobiografie;"Ein amüsanter Lesespaß nicht nur für Leute, die Klatsch und Tratsch wie Luft und Liebe brauchen. In 20 Kapiteln gibt er amüsante Anekdoten und witzige Begebenheiten ebenso zum Besten, wie die eine oder andere „Bananenschale“, auf der er ausgerutscht ist. 
"
M595661262;Ferris, Joshua;Ins Freie;2010;349;Belletristik;Ein Anwalt ist von dem unerklärlichen Zwang besessen, unvermittelt zu Fußmärschen aufbrechen zu müssen. Seine Wanderungen entfernen ihn nicht nur von der Gesellschaft, sondern vor allem auch von seiner Familie und seinem beruflichen Umfeld.
M595659399;Fforde, Jasper;Der Fall Jane Eyre;2007;375;Krimi;Können Sie sich eine Welt vorstellen, in der Literatur so wichtig genommen wird, dass es eine Spezialeinheit gibt, um sie vor Fälschern zu schützen? Als Geheimagentin Thursday Next ihre neue Stelle in Swindon antritt, ahnt sie schon, dass ihr die größte Herausforderung ihrer Karriere bevorsteht.
M595659387;Fforde, Jasper;In einem anderen Buch;2007;418;Krimi;Spezialagentin Thursday Next wird schwer in die Mangel genommen: Ihre eigene Dienststelle lässt sie beschatten, bei der Mammut-Herbstwanderung fällt ihr ein Oldtimer fast auf den Kopf, ihr Dodo legt in ihrer Küche ein Ei, der eben erst erworbene Ehemann wird von der ChronoGarde genichtet, und obendrein geht am 12. Dezember die Welt unter.
M595659338;Fforde, Jasper;Im Brunnen der Manuskripte;2008;411;Krimi;Ein Riesenspaß für alle, die Literatur lieben! Die Welt der Literatur gegen alle möglichen Missetäter zu verteidigen, ist eine ehrenvolle, aber auch nervenaufreibende Aufgabe. Wen wundert es also, dass Thursday Next sich zu ihrem Mutterschaftsurlaub in die tiefsten Tiefen des Brunnens der Manuskripte zurückzieht.
M595659269;Fforde, Jasper;Es ist etwas faul;2006;426;Krimi;Letzte Meldung: Thursday Next kehrt zurück! Nach jahrelangem Aufenthalt in der BuchWelt kehrt Agentin Thursday Next mit ihrem zweijährigen Söhnchen Friday und Hamlet, dem bekannten Dänenprinzen, in ihre Heimatstadt Swindon zurück. Im Haus ihrer Mutter warten schon andere Gäste auf sie.
M595659302;Fforde, Jasper;Irgendwo ganz anderes;2009;408;Krimi;Thursday Next führt ein Doppelleben. Sie arbeitet in einem Teppichgeschäft, doch im Geheimen ist sie als Ausbilderin für die Jurisfiktion in der BuchWelt zuständig. Dort muss sie sich mit ihren Roman-Doppelgängerinnen Thursday 1-4 und Thursday 5 herumschlagen.
M595665754;Fischer, Erica;Mein Erzengel;2010;248;Belletristik;Durch eine Anzeige lernt Ruth den Schriftsteller Michael kennen. Michael hilft Kriegsflüchtlingen aus aller Welt. Ihre Ehe wird bald belastet durch alte, unverheilte Wunden auf beiden Seiten.
M595665462;FitzGerald, Helen;Furchtbar lieb;2010;238;Belletristik;Eine junge, eben Mutter gewordene Sozialarbeiterin unternimmt mit ihrer besten Freundin und deren Mann eine Wandertour. In deren Verlauf kommt es zum Streit zwischen den beiden Frauen. Das zieht Turbulenzen nach sich.
M595699389;Fletcher, Susan;Austernfischer;2008;381;Belletristik;Seit sie von den Klippen gestürzt ist, liegt Amy im Koma. Moira, ihre ältere Schwester, spricht mit ihr und trägt ihr die Welt ins Zimmer. Dabei hat sie eine Beichte abzulegen. Ein stiller, vielschichtiger und traurig-schöner Roman.
M595668143 M600050231;Follet, Ken;Sturz der Titanen;2010;1.022;Historie;1. Teil einer 3-bändigen Jahrhundertsaga, die in 3 Ländern spielt. Vor dem Hintergrund einer dramatischen Epoche, die mit dem Jahre 1914 beginnt und mit dem Fall der Mauer 1989 endet, entfalten sich die Schicksale von 3 Familien und 3 Generationen.
M595665182;Fontane, Theodor;Irrungen, Wirrungen;2007;203;Roman;Der Roman aus dem Jahr 1888 handelt von der Liebe zwischen dem Adeligen Baron Botho von Rienäcker und der Schneidergesellin Magdalene Nimptsch, die aufgrund der Standesunterschiede der beiden niemals in Erfüllung gehen kann. Die Handlung spielt im Berlin des ausgehenden 19. Jahrhunderts.
M595659270;Fontane, Theodor;Frau Jenny Treibel;2007;207;Roman;Eine Analyse des Bildes der Bourgoisie im Roman.
M59566474X;Fontane, Theodor;Effi Briest;2002;304;Roman;Das Leben einer jungen Frau mit fast noch kindlichem Verhalten, die an den gesellschaftlichen Konventionen im Preußen des späten 19. Jahrhunderts zerbricht. Landrat Innstetten, ein früherer Verehrer von Effis Mutter, hält um die Hand des zu diesem Zeitpunkt erst 17-jährigen Mädchens an und zieht mit dieser nach der Hochzeit und einer anschließenden Hochzeitsreise durch Italien in das in Hinterpommern gelegene Kessin. 
M595659407;Fontane, Theodor;Der Stechlin;1986;503;Roman;Der alte Dubslav von Stechlin, Major a. D. und Witwer, ist ein Vertreter des alteingesessenen märkischen Adels. Er ist stolz auf sein renovierungsbedürftiges Herrenhaus, sein Dorf, vor allem aber auf den sagenumwobenen See. Die Verbindung zur großen Weltbewegung, zu den gesellschaftlichen und politischen Umbrüchen der Jahrhundertwende stellt sich aber auch durch den Sohn Woldemar ein. Seine Heirats- und Lebenspläne werden zum zentralen Thema der Geschichte, in der sich die alten und die neuen Zeiten widerspiegeln.
M595665896;Fortier, Anne;Julia;2010;637;Belletristik;Die junge Amerikanerin Julia stößt auf ein altes Buch: die Urfassung der Geschichte von Romeo und Julia und den verfeindeten Familien Tolomei und Salimbeni. Durch Zufall findet sie heraus, dass ihr wahrer Name Giulietta Tolomei ist. Fasziniert reist sie nach Siena, um dort mehr zu erfahren. Und schon bald gerät sie in höchste Gefahr.
M595665730;French, Tana;Totengleich;2009;780;Krimi;"Cassie Maddox ist geschockt: Die Tote, zu der die Polizistin gerufen wird, gleicht ihr aufs Haar. Um den Mordfall zu lösen, eignet sich Cassie das Leben der Toten an und kehrt zurück in die seltsame Wohngemeinschaft, deren 5. Mitglied ""Lexie"" war."
M595665717;Frenz, Lothar;W wie Wissen;2010;203;Naturwissensch.;Aktuelle Forschungsergebnisse über die Umwelt, den Menschen, das Klima, Energie, Meere und Seen, den Regenwald und Tiere.
M595664564;Frisch, Max;Stiller;1996;432;Roman;Der Reisende Jim White wird an einem Grenzbahnhof festgenommen: Er soll der verschwundene Bildhauer Anatol Ludwig Stiller sein. In der Untersuchungshaft wird er mehr und mehr mit seinem Alter Ego konfrontiert, dessen Vorgeschichte sich aus verschiedenen Erzählungen zusammenfügt:
M595664645;Frisch, Max;Mein Name sei Gantenbein;1991;287;Roman;"Der gesamte Roman ist in der Ich - Erzählsituation geschrieben, wobei der Leser nie irgend etwas über das wirkliche ich erfährt. Das ganze Buch hindurch befindet sich der Erzähler in einer fiktiven Welt, d. h. er stellt sich verschiedene Rollen in verschiedenen Personen vor, welche er dann niederschreibt. Diese Rollen des ""Ich"" sind in einem gleitenden Wechsel: mal Ehemann, mal Geliebter, mal verlassener Ehemann. Rollen wie Enderlin und Svoboda werden im Laufe des Romans fallengelassen; die endgültige Entscheidung lautet: ""Mein Name sei Gantenbein."""
