Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M59 569 907 3;Mayall, Felicitas;Wie Krähen im Nebel;Krimi;2009;618;Im Eurocity aus Rom wird die Leiche einer jungen Unbekannten endeckt…
M59 566 155 4;Oelker, Petra;Tod auf dem Jakobsweg;Krimi;2008;573;Ein uralter Pilgerpfad. Eine Gruppe von Wanderern. Ein tödliches Geheimnis. Einmal nur Urlaub vom norddeutschen Regen! Wandern auf dem legendären spanischen Jakobsweg verheißt weite Landschaften...
M59 569 910 5;Oelker, Petra;Das Bild der alten Dame;Krimi;2002;332;Lady Amanda bekommt ohne Absender und Kommentar ein Gemälde zugeschickt. Sie ist völlig verblüfft und bewegt, denn ihr Mann hatte es ihr zur Hochzeit geschenkt, weil die schöne Lady auf dem Bild ihr so ähnlich sah. 1945 war es gestohlen worden und nie wieder aufgetaucht.
M59 569 899 5;Pilcher, Rosamunde;Ende eines Sommers;Belletristik;1997;302;Jane lebt bei ihrem Vater, einem exzentrischen Schriftsteller, in Kalifornien. Eines Tages taucht der junge Anwalt Davis Stewart auf, der sie im Auftrag ihrer Großmutter nach Schottland einlädt. Die Erinnerungen an ihre Kindheit, an das unbeschwerte Leben auf dem Landgut Elvie in den schottischen Highlands, lassen Jane nicht lange zögern
M59 566 149 7;Pilcher, Rosamunde;Frühlingsgeschichten;Belletristik;2006;254;Der Frühling: die schönste Zeit des Jahres. Und keine versteht es so wie Rosamunde Pilcher, in ihren Geschichten den besonderen Zauber des Frühlings einzufangen. Erzählungen von den Wechselfällen des Lebens, das sich nicht immer den Wünschen fügen will, aber am Ende doch triumphiert.
M59 569 905 X;Pilcher, Rosamunde;Sommer am Meer;Belletristik;1994;317;Virginia Keiles unglückliche Ehe endet mit dem Tod ihres Mannes. Die junge Witwe kehrt zum erstenmal nach Jahren an ihren Heimatort in Cornwall zurück, um dort den Sommer zu verbringen.
M59 569 927 2;Pilcher, Rosamunde;Stürmische Begegnung;Belletristik;2009;395;Am Sterbebett ihrer Mutter erfährt Rebecca Bayliss ein langgehütetes Geheimnis: Plötzlich hat sie eine Familie, von der sie bislang nichts ahnte.
M59 566 151 7;Pilcher, Rosamunde;Wilder Thymian;Belletristik;2006;208;Vor Jahren hat Oliver seine Geliebte Victoria wegen einer anderen verlassen. Plötzlich steht er wieder vor ihrer Tür und hält seinen zweijährigen Sohn im Arm: Was wird Victoria tun?
M59 569 904 8;Pluhar, Erika;Verzeihung, ist das hier schon die Endstation?;Belletristik;2005;319;"Ein Mainachmittag in Wien. Die Pragerin Nelly Tomasová besucht die Stadt, aus der ihre Mutter stammt, zum ersten Mal. In der Straßenbahn spricht sie einen Herrn um die sechzig an: ""Verzeihen Sie, ist das hier schon die Endstation?"" So beginnt das neue Buch von Erika Pluhar, und eine tiefe Begegnung zweier einsamer Menschen nimmt ihren Anfang."
M58 515 857 7;Proulx, Annie;Schiffsmeldungen ;Belletristik;2006;639;Quoyle ist 36, groß, dick, schüchtern und irgendwie unbeholfen. Er hat gerade seinen Job verloren, seine Frau hat ihn verlassen. Seine Tante überredet ihn, einen Neubeginn in Neufundland zu wagen. Quoyle, seine Kinder und die Tante machen sich in die unwirtliche Gegend auf. Nach Anpassungsschwierigkeiten gewöhnen sie sich an das rauhe Klima und neue Leben. Die Handlung ist völlig unspektakulär und die Geschichte kommt ganz leise daher.  
M59 569 896 X;Remin, Niclas;Gondeln aus Glas;Krimi;2009;556;Venedig im Juni 1864. Mitten in der Nacht wird Commissario Tron zu einem Kontor im Palazzo Moro gerufen: Der Kunsthändler Kostolany ist ermordet worden, und ein wertvoller Tizian scheint abhanden gekommen zu sein. Die Verkäuferin des Bildes ist Marie Sophie, die Königin von Neapel und Schwester der Kaiserin Elisabeth. Unglücklicherweise weiß ihr Gatte nichts vom Verkauf des Gemäldes, die ganze Angelegenheit scheint äußerst delikat und beschert Tron einige unruhige Nächte. Privat schlägt er sich mit den Capricen einer jungen polnischen Pianistin herum, die auf dem Ball zur Markteinführung des TronGlases spielen soll. Wofür wiederum die Principessa nicht das nötige Verständnis aufbringt, denn sie kann die hübsche Polin nicht ausstehen. Als die junge Frau erdrosselt aufgefunden wird, gerät Tron selbst unter Verdacht …
M59 566 449 5;Safier, Davis;Mieses Karma;Belletristik;2009;428;Die Moderatorin Kim Lange erlebt einen Tag des Triumphes: Sie gewinnt den Deutschen Fernsehpreis. Schade eigentlich, dass sie noch am selben Abend von den Trümmern einer herabstürzenden russischen Raumstation erschlagen wird. Im Jenseits erfährt sie, dass sie in ihrem Leben viel zu viel mieses Karma gesammelt hat - und bekommt prompt die Rechnung präsentiert. Kim findet sich in einem Erdloch wieder, hat zwei Fühler, sechs Beine und einen überproportional großen Hinterleib: Sie ist eine Ameise!
M59 569 900 0;Sanders, Annie;Weihnachen für Anfänger;Belletristik;2008;587;Chaos, Küsse, Kerzenschein . Nach einer Liebeshochzeit mit dem älteren Jacob findet sich die selbstbewusste Akademikerin Beth als Heimchen am Herd auf dem Lande wieder.
M59 566 160 X;Scheib, Asta;Eine Zierde in ihrem Hause;Belletristik;2009;768;Ottilie von Faber wird in jungen Jahren von ihrem Großvater Lothar, da ihr Vater Wilhelm sehr früh stirbt, als Nachfolgerin bestimmt und soll frühzeitig in das Familiengeschäft einsteigen. Nach ihrer Heirat mit Alexander Graf zu Castell-Rüdinghausen, der in der Heirat eine nutzbringende finanzielle Absicherung sieht, wird sie von ihm immer mehr auf den Haushalt und die Kinder beschränkt. Sie lässt es jedoch ohne Murren geschehen und widmet sich den Alltäglichkeiten des Hauses, bis es zu spät ist und Alexander die Macht im Hause Faber übernommen hat, und auch nicht bereit ist, sie wieder herzugeben. So bleibt ihr nur die Rolle, die Zierde des Hauses zu spielen. 
M58 556 800 1;Schönfeldt, Sybil;Sonderappell;Belletristik;2002;361;Charlotte, 17, Abiturientin, wird zum Arbeitsdienst nach Oberschlesien eingezogen. Schulung, Appelle, militärische Disziplin, Kameradschaft, Treue und Gehorsam sind dem Mädchen aus einer Offiziersfamilie vertraut. Doch während sie Ställe ausmistet, Kartoffeln schält und schließlich Panzersperren baut, kommen ihr erste Zweifel am nationalsozialistischen System.
M59 569 906 1;Seghers, Jan;Ein allzu schönes Mädchen;Krimi;2010;733;Unschuldsengel oder kaltblütige Mörderin? Frankfurt im Hochsommer: Im Stadtwald werden die grauenhaft zugerichteten Leichen zweier junger Männer entdeckt. Spuren am Tatort weisen auf eine Frau hin.
M59 569 909 7;Thorn, Ines;Die Pelzhändlerin;Belletristik;2010;709;Frankfurt, 1462: Als der verwitwete Kürschner Wöhler erfährt, dass seine einzige Tochter Sibylla gestorben ist, erleidet er einen Herzinfarkt. Einzige Zeugin ist die Wäscherin Martha. Sie ergreift die Chance, verheimlicht den Tod Sibyllas und setzt ihre eigene Tochter Luisa, die Sibylla immer schon sehr ähnlich gesehen hat, an deren Stelle. Luisa ist froh, keine Wäscherin mehr zu sein, doch die Furcht entlarvt zu werden, verlässt sie nie.
M59 566 159 1;Walser, Martin;Der Augenblick der Liebe;Belletristik;2009;361;Gottlieb Zürn, Ex-Makler, Privatgelehrter mit Domizil am Bodensee, erhält Besuch von einer Doktorandin. Sie interessiert sich für seine Aufsätze über den französischen Philosophen LaMettrie und überreicht ihm eine Blume. Sie könnte seine Enkelin sein. 
M59 569 911 7;Weiler, Jan;In meinem kleinen Land;Belletristik;2010;534;Neun Monate Deutschland: Tage, Wochen, Monate verbrachte Jan Weiler damit, seine Heimat auf Lesereisen zu erkunden: Von Wyk auf Föhr über Borgholzhausen bis Passau. Liebevoll und nachdenklich hat er seine Erlebnisse aufgeschrieben - und kommt zu dem Schluss: Unser kleines Land ist eine Reise wert!  
