Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M60 051 186 3;Torres Blandina, Alberto;Salvador und der Club der unerhörten Wünsche;Belletristik;2010;4;Salvador Fuensanta arbeitet seit Jahrzehnten als Reinigungskraft auf einem Flughafen. In dieser Zeit hat er viele Beobachtungen gemacht, Menschen kennengelernt und die erstaunlichsten Dinge erlebt oder gehört.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 951 7;Tucholsky, Kurt;Ich vertreibe mir so mein Leben;Lyrik;2010;1;Gedichte, Satiren, Chansons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 952 9;Walls, Jeanette;Ein ungezähmtes Leben;Biographie;2010;6;"Die Autorin erzählt die Lebensgeschichte ihrer Großmutter, die Anfang des 20. Jahrhunderts im ""Wilden Westen"" aufwuchs. Bereits mit 15 Jahren ist sie fest entschlossen, ihr Leben selbst in die Hand zu nehmen. Sie tritt ihre 1. Lehrerinnenstelle in der Prärie an";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M592819777;Weissweiler, Eva;Wilhelm Busch - Der lachende Pessimist;Biographie;2007;3;Bastian Pastewka liest eine Biographie von Wilhelm Busch  (1832 bis 1908).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 970 4;Wieczorek, Thomas;Die verblödete Republik;Politik;2009;6;wie uns Medien, Wirtschaft und Politik für dumm verkaufen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 412 809 0;Wischmeyer, Dietmar;Günther, der Treckerfahrer;Belletristik;2010;2;Landleben;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 963 5;Wolf, Notker;Gönn dir Zeit, es ist dein Leben;Ratgeber;2010;1;Ratgeber zur Zeiteinteilung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 967 2;Yogeshwar, Ranga;Sonst noch Fragen?;Wissenschaft;2009;1;Wieso bekommt man Gänsehaut? Warum haben Frauen so oft kalte Füße? Warum leuchten Katzenaugen? Der bekannte Diplom-Physiker, Jahrgang 1959, beantwortet Fragen aus allen Bereichen unseres täglichen Lebens.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M59 281 914 4;Zelter, Joachim;Die Würde des Lügens;Belletristik;2008;1;Ein des Lesens und Schreibens unkundiger Erzähler nimmt irgendwo in einem Kellerloch seine eigenen sprachlichen Kunstwerke auf Band auf. Langsam verschwinden die Grenzen zwischen Wahrheit und Lüge ...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M594914827;Zweig, Stefan;Schachnovelle;Belletristik;2010;1;Auf einem Passagierschiff treffen ein prominenter Wiener Anwalt, der von den Nazis in Isolationshaft gefangen genommen wurde, und der amtierende Schachweltmeister, ein kühl kalkulierender, geldgieriger Parvenü, aufeinander.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M588282491;versch.Autoren;Die komplette Wahrheit über Deutschland;Satire;2009;8;"In regelmäßigen Abständen sammelt WortArt die ""Crème de la Crème"" der Neuerscheinungen im Bereich Kabarett und Comedy auf einer CD und nennt diese ""Die Wahrheit über Deutschland"". Neben den namhaften Speerspitzen im Kabarett und Comedyolymp findet sich hier auch immer Platz für den Nachwuchs.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M60 099 651 2;Adler-Olsen, Jussi;Schändung;Thriller;2010;6;Ein 20 Jahre zurückliegender Doppelmord beschäftigt Kommissar Carl Mørck und seinen Assistenten Assad. Doch sobald ihre Ermittlungen auffallen, bekommen sie von ganz oben auf die Finger: Die Elite will keinesfalls, dass in diesem Sumpf herumgestochert wird ...;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
