Mediennummer;Autor;Titel;Genre;Erscheinungsjahr;Umfang;Kurze Inhaltsangabe
M588284871;Robertis,de, Carolina;Die unsichtbare Stimme;Belletristik;2009;6;Die Geschichte dreier Frauen mit einem unbändigen Drang zu einem selbstbestimmten Leben - gegen alle Widerstände -
M588284777;Updike, John;Die Witwen von Eastwick;Belletristik;2008;7;Ein Vierteljahrhundert ist es her, seit die Hexen Alexandra,Jane und Sukie nach den Orgien mit Darryl van Horne und dem Mord an dessen Favoritin Eastwick verließen. Nun, erneut verheiratet und verwitwet, machen sie noch einmal Sommerferien in Eastwick - und dort erinnert man sich an sie. Und hat alte  Rechnungen offen.
M58828486X;Winter,de,Leon;Leo Kaplan;Belletristik;2002;6;Ein tragikomischer Roman über die Sehnsucht nach der Liebe und die Suche nach den eigenen Wurzeln
M600482531;Tolstoi, Leo;Krieg und Frieden;Belletristik;2008;54;Russland, 1805 bis 1812: Während Napoleons Truppen in Europa wüten, treibt auch die feine Gesellschaft Russlands einem Schicksal entgegen, das von den Schrecken des Krieges und den historischen Ereignissen bestimmt ist.
M588282324;C. S. Forester;African Queen;Belletristik;2007;4;"Afrika 1914: Rose Sayer überredet Charlie Allnut, Kapitan der altersschwachen ""African Queen"", ein deutsches Kanonenboot zu versenken. Doch das patrouilliert auf einem See, der angeblich nur über Land zu erreichen ist. Wie sollen sie also dort hinkommen? Vor allem: Wie können die altjüngferliche Missionarin und der trinkfreudige Kapitän überhaupt  miteinander auskommen?"
M588282312;Sandra Brown;Eisnacht;Krimi;2008;6;Ein Eissturm tobt. Doch es ist nicht die Kälte, die Lilly Martin denken lässt, dass sie sich den Tod geholt hat. Gemeinsam mit einem Fremden wartet sie in ihrer einsam gelegenen Berghütte auf das Ende des Blizzards und langsam keimt in ihr der Verdacht, dass es sich bei dem Unbekannten um einen langgesuchten Frauenmörder handelt. Sie sitzt in einer eiskalten Falle....
M588283200;Mary Higgins Clark;Mein ist die Stunde der Nacht;Krimi;2004;6;Die Historikerin Jean Sheridan reist zu einem Ehemaligen-Treffen in ihre Heimatstadt, bei dem sie und sechs andere aus ihrem Jahrgang ausgezeichnet werden sollen. Überschattet wird das Treffen von der Nachricht, dass eine der sechs tot in ihrem Pool aufgefunden wurde. Noch ahnt niemand, dass der Killer bei der Preisverleihung unter den Anwesenden ist und sein letzten Opfer bereits auserkoren hat.  
M588282292;T. C. Boyle;Das wilde Kind;Belletristik;2010;2;"Ende des 18. Jh. in Frankreich: Ein ca. 12-jähriges Kind, verwildert, nackt und unfähig zu sprechen, wird in den Wäldern gefangen. Der Junge ist nicht nur bei der einfachen Landbevölkerung, sondern auch bei Pariser Wissenschaftlern die Sensation. Ein junger Arzt beginnt mit dem Experiment der ""Zivilisierung"", das nur bedingt erfolgreich verläuft."
M588282231;Ruth Rendell;Die Maus in der Ecke;Krimi;2006;1;Tom Peterlee wurde mit einem Holzscheit brutal erschlagen. Kommissar Wexford kommt mit seinen Ermittlungen jedoch nicht voran. Wer hat ein Motiv? Seine Frau, seine Geliebt, die ihn verlassen wollte, seine trotzige Stieftochter und ihr krimineller Freund oder seine Mutter, die seinen Tod überhaupt nicht bedauert 
M588282292;T. C. Boyle;Das wilde Kind;Belletristik;2010;2;Ende des 18. Jh. in Frankreich: Ein ca. 12-jähriges Kind, verwildert, nackt und unfähig zu sprechen, wird in den Wäldern gefangen. Der Junge ist nicht nur bei der einfachen Landbevölkerung, sondern auch bei Pariser Wissenschaftlern die Sensation. 
M588282218;Andrea Maria Schenkel;Kalteis;Krimi;2007;4;In München und Umgebung werden junge Frauen vergewaltigt und umgebracht. Josef Kalteis ist verhaftet worden, aber gehen wirklich alle Verbrechen auf sein Konto? Der Hergang der Morde erschließt sich aus Vernehmungsprotokollen, aussagen und Vermißtenanzeigen. Aber auch die Opfer und der Täter kommen zu Wort, sodass man bis ins Detail die Gedanken des Mörders verfolgt und die Angst und den Widerstandt der Frauen miterlebt.
M588282206;Liza Marklund;Prime Time;Krimi;2005;5;Die Journalistin Annika Bengtzon will in einen Kurzurlaub aufbrechen als  ihr Chef anruft: Mord an Schwedens erfolgreichster Fernsehmoderatorin Michelle Carlsson - kein anderer Kollege ist verfügbar.. Zähneknrischend macht sie sich zum Tatort auf, einem abgelegenen Schloss. dreizehn Personen waren in der Mordnacht dort und jede hatte ein Motiv...
M588282198;Susanne Ayoub;Engelsgift;Krimi;2004;6;Karoline Streicher wurde 1938 wegen vierfachen Giftmordes hingerichtet. Sechzig Jahre später recherchiert die Drehbuchautorin Marie Horvath den Fall. Dazu befagt sie Karolines einsamen und verbitterten 70-jährigen Sohn Hermann. Seine Erzählungen lassen das Bild der schönen, glamourösen, aber auch hartherzigen Frau und Mutter auferstehen und geben dem Fall eine neue Wendung. Mehr und mehr gerät Marie in den Sog der Familie Streicher... 
M588282174;Ingrid Noll;Die Sekretärin;Krimi;2001;1;Drei Rachegeschichten - Rache ist süß. Ob Sekretärin, Putzfrau oer Hausfrau, wenn sie zu sehr gedemütigt werden und ihnen der kragen platzt, dann zwahlen sie es heim.
M588282186;Nathaniel Hawthorne;Der scharlachrote Buchstabe;Roman;2001;8;Boston Mitte des 17. Jh. Hester Prynne besteigt, ihr unehelich geborenes Kind auf dem Arm, den Pranger. Auf der Brust trägt sie in schön verzierter, roter Stickereiarbeit den Buchstaben E für Ehebrecherin. Sie kontrastiert mit ihrer Umgebung, den bärtigen Männern, die dunkle Kleidung und hohe spitze Hüte tragen oder den Frauen in ihren Kapuzen. Sie ist eine Ausgestoßene, die sich weigert, den Namen des Vater der kleine Pearl preiszugeben. Eine Frau zwischen zwei Männern, einem puritanischen Geistlichen und einem dämonischen Wissenschaftler - das ist die Ausgangssituation dieses Romans.   
M588282150;Åke Edwardson;Rotes Meer;Krimi;2008;4;Es ist Mittsommer in Göteborg und Kommissar Erik Winter steht vor drei Leichen. Der einzige Zeuge, ein kleiner Junge, versteckt sich. Winter kommt mit seinen Ermittlungen in einem Milieu am Rande der Gesellschaft nur mühsam voran. Seine einzige Hoffnung ist es, den Jungen zu finden.
M588282279;Charlotte Link;Das Haus der Schwestern;Belletristik;2002;6;Die Weihnachtsreise ins Hochmoor von Yorkshire verläuft für die Ambergs ganz anders als erwartet. In der ersten Nacht schneien sie auf Westhill House ein. Verdrängte Beziehungsprobleme kommen an die Oberfläche und dann sieht sich Barbara mit der Lebensgeschichte jener Frau konfrontiert, der Westhill House einmal gehörte...
M588282280;Lilliane Hoffman;Morpheus;Krimi;2005;6;Ein Serienmörder, der korrupte Cops tötet. Eine Staatsanwältin, die ein dunkles Gehiemnis hat. Ein Monster, das im Todestrakt auf den Tag der Rache wartet... 
M588282429;Ruth Rendell;Der gefallene Vorhang;Krimi;2004;1;Ein kleiner Junge verliert sein Gedächtnis nach der Begegnung mit einem Fremden.Die Mutmaßungen und Phantasien der anderen legen sich von da an als dunkler Schatten auf seine Kindheit. 
M588282430;Zeruya Shalev;Späte Familie;Belletristik;2005;5;"Von einem Tag auf den anderen beschließt Ella, sich von ihrem Mann zu trennen, und bittet ihn, die Wohnung zu verlassen. Doch was wie ein Befreiungsschlag wirken sollte, beginnt für die Mutter des gemeinsamen Sohnes  zunächst einmal mit der gefürchteten großen Leere. Erst eine ""späte"" Familie bringt den ersehnten Neuanfang."
M588282454;Bernhard Schlink;Die Heimkehr;Belletristik;2006;8;Das Fragment eines Heftchenromans über die Heimkehr eines deutschen Soldaten aus Sibirien. Als Peter Debauer darin Details aus seiner eigenen Welt entdeckt, macht er sich auf die Suche. Die Suche nach dem Ende der Geschichte und nach deren Autor wird zur Irrfahrt durch die deutsche Vergangenheit.
M588282442;Richard Yates;Easter Parade;Belletristik;2008;7;Sarah und Emily leiden unter den Launen ihrer rastlosen, geschiedenen Mutter. Die schöne Sarah heiratet früh ihren Traumprinzen, doch ihre Ehe ist nicht so glücklich, wie sie alle glauben machen will. Emily macht Karriere in New York, hat Affären und Liebschaften. Erst spät wird ihr bewußt, wie einsam sie ist.
M588282417;Jan Seghers;Ein allzu schönes Mädchen;Krimi;2004;4;Als im Frankfurter Stadtwald die grauenhaft zugerichteten Leichen zweier junger Männer gefunden werden, überträgt man den Fall Robert Marthaler, einem musikliebenden Melancholiker. Die Morde machen dem Hauptkommisar zu schaffen, denn alle Spuren weisen auf eine Frau als Täterin hin. Und dann gerät auch noch Marthalers Privatleben aus den Fugen, denn seine neue Mitbewohnerin ist eine ernsthafte Versuchung für den Junggesellen...
M588282397;Alex Barclay;Schattenturm;Krimi;2005;5;Nach dem blutigen und tragischen Ende einer Routineuntersuchung quittiert Detective Joe Lucchesi seinen Dienst bei der New Yorker Polizei und zieht mit Frau und Sohn an die Ostküste Irlands. Sie sind glücklich. Sie fühlen sich sicher. Und sie werden einen Albtraum erleben, der weit schlimmer ist als jener, den sie hinter sich gelassen haben. Denn Joe Lucchesi hat einen Feind, der alles daransetzt, die Familienidylle zu zerstören.
M588282405;Remin, Nicolas;Schnee in Venedig;Krimi;2005;4;Venedig im Februar 1862: Auf einem österreichischen Schiff werden 2 Leichen gefunden. Commissario Tron wird der Fall entzogen, doch mithilfe von Kaiserin Elisabeth, die gerade in Venedig weilt, ermittelt er weiter ...
M588282365;Groult Benoîte;Salz auf unserer Haut;Belletristik;2007;3;Die Geschichte einer lebenslangen leidenschaftlichen Liebe zwischen einer Pariser Intellektuellen und einem bretonischen Fischer.

M59 281 922 5;Adler-Olsen, Jussi;Erbarmen;Krimi;2009;5;Carl Morcks Beförderung zum Leiter des Dezernats Q ist eigentlich eine Degradierung. Anstatt aktuelle Mordfälle zu lösen, bearbeitet der Kommissar zu den Akten gelegte Fälle. Doch schon der 1. Fall einer seit 5 Jahren spurlos verschwundenen Politikerin entwickelt sich zum Albtraum.
M600511838;André, Martina;Das Rätsel der Templer;Thriller;2008;3;Im Jahr 1307 ist der Orden der Templer vom Untergang bedroht. Ritter Gero von Breydenbach begibt sich auf eine gefährliche Mission und landet im Jahr 2004 in einem kleinen Dorf in der Eifel.
M59 281 966 0;Babendererde, Antje;Indigosommer;Belletristik;2010;4;Die 16-jährige Austauschschülerin Smilla fährt mit Freunden zum Surfen in ein Indianerreservat an der Westküste der USA. Trotz Hass und Gewalt zwischen weißen und eingeborenen Jugendlichen verliebt sie sich in den Indianerjungen Conrad.
M59 491 463 X;Barbery, Muriel;Die Eleganz des Igels;Belletristik;2010;6;Im Mittelpunkt stehen Renèe, 54, Concierge im Haus Rue de Grenelle 7, Autodidaktin, und Paloma, 12, hochintelligent und entschlossen, sich am 13. Geburtstag umzubringen. Beide sind Außenseiterinnen, doch das ändert sich, als mit dem Japaner Ozu jemand einzieht, der ihren wahren Wert erkennt.
M59 281 902 6;Bazell, Josh;Schneller als der Tod;Thriller;2010;6;Der ehemalige Mafia-Killer Peter Brown, der unter mit neuer Identität als Arzt in einem New Yorker Krankenhaus arbeitet, wird von einem Patienten erkannt und fortan erpresst.
M592819168;Beckerhoff, Florian;Frau Ella;Belletristik;2010;4;Im Krankenhaus teilen sich der 30-jährige Sascha und die rüstige Greisin Ella für kurze Zeit ein Zimmer. Bald verbindet die beiden ganz unterschiedlichen Menschen viel mehr als nur die gesunde Skepsis gegenüber herrischen Ärzten. Eine rührende Art von Romanze beginnt.
M59 281 910 7;Benioff, David;Stadt der Diebe;Belletristik;2009;6;"Während der deutschen Belagerung Leningrads können sich 2 junge Russen vor der Hinrichtung retten, wenn sie einem Geheimdienstoffizier Eier für die Hochzeitstorte seiner Tochter besorgen; in der von Hunger und Bombardements ausgebluteten Stadt eine schier unmögliche Aufgabe."
M59 281 909 9;Blum, Arne;Saubande;Krimi;2010;4;Kim hat im Moment zweifellos Schwein: Sie ist dem Tod von der Schippe gesprungen. Nun hat sie bei dem Maler Munk und seiner Muse Dörthe ein neues Zuhause gefunden. Und Kim ist verliebt ...Doch dann das: Mit einem Messer im Rücken stürzt ihr Gönner tödlich getroffen zu Boden. Nur ein letztes Wort kommt über seine Lippen: »Klee ...« Kim steht vor einem Rätsel. Und was das Ganze noch erschwert: Kim ist ein Schwein, und ihre Artgenossen sind ihr wahrlich keine Hilfe - weder Che, der große Weltveränderer, noch der gefräßige Brunst oder der altersschwache Doktor Pik. Bleibt nur der verwegene Typ, der Kim seit Tagen schöne Augen macht und von allen nur Lunke genannt wird, ein wilder Schwarzkittel, der keiner Keilerei aus dem Weg geht. Gemeinsam folgen die beiden ihrem Rüssel und wühlen dabei einen allzu menschlichen Bodensatz aus Vertuschung, Habgier, Erpressung und Mord auf ...
M60 051 188 7;Borowiak, Simon;Schade um den schönen Sex;Belletristik;2009;3;Mit spöttisch-ironischem, aber auch melancholischem Blick wird von den vielen Facetten der Liebe und des Begehrens erzählt, vom Schmerz unerfüllter Sehnsucht, von gebrochenen und geheilten Herzen. Schauplatz ist ein altes Hotel in Italien, wo einige wenige Gäste die Weihnachtstage verbringen.
M60 051 198 1;Brown, Dan;Das verlorene Symbol;Thriller;2009;6;Der Symbolforscher Robert Langdon folgt einer Einladung in die geheime esoterische Welt, die sich hinter der Fassade von Washington, D.C. verbirgt, um das Leben seines Mentors zu retten.
M60 051 197 X;Cabré, Jaume;Senyoria;Historie;2009;6;Katalonien 1799: Der auf seine eigenen Vorteile bedachte Gerichtspräsident tritt mit der Verfolgung eines Unschuldigen in ein Fettnäpfchen, das ihn teuer zu stehen kommt.
M60 051 189 9;Camilleri, Andrea;Die Farbe der Sonne;Krimi;2010;2;Ein Roman über die letzten Lebensjahre Caravaggios auf Malta, wo er aufgrund einer Augenerkrankung das Sonnenlicht meiden muss und langsam dem Wahnsinn verfällt.
M59 281 918 1;Cleave, Paul;Die Toten schweigen nicht;Thriller;2009;6;Der Ex-Cop und Privatdetektiv Theo Tate will in Christchurch, Neuseeland, einen Serienmörder stellen, der 3 Tote, die auf dem kleinen Friedhofsee treiben, zu verantworten hat.
M59 281 933 1;Dahl, Arne;Dunkelziffer;Krimi;2010;6;Unter Gamla Stan wird das Skelett eines deformierten Mannes aus dem 18. Jahrhundert ausgegraben, ein Mädchen verschwindet bei einer Klassenfahrt in die Wälder des Nordens, dazu werden einige Pädophile enthauptet aufgefunden. 8. Fall für die A-Gruppe.
M59 491 491 X;David-Néel, Alexandra;Abenteuer & Wissen. Die Frau vom Dach der Welt;Belletristik;2010;1;Abenteuer-Feature über eine der größten und eigenwilligsten Abenteurerinnen des 20. Jahrhunderts, die Französin Aalexandra David-Néel, die auf ausgedehnten Reisen durch Asien den Buddhismus erforschte.
M59 281 932 X;Dostojewski, Fjodor;Der Spieler;Belletristik;2004;4;Aus den Aufzeichnngen eines jungen Mannes 1865.
M59 491 481 5;Ferris, Joshua;Ins Freie;Belletristik;2010;6;Ein Anwalt ist von dem unerklärlichen Zwang besessen, unvermittelt zu Fußmärschen aufbrechen zu müssen. Seine Wanderungen entfernen ihn nicht nur von der Gesellschaft, sondern vor allem auch von seiner Familie und seinem beruflichen Umfeld.
M59 281 921 3;FitzGerald, Helen;Furchtbar lieb;Belletristik;2010;4;Eine junge, eben Mutter gewordene Sozialarbeiterin unternimmt mit ihrer besten Freundin und deren Mann eine Wandertour. In deren Verlauf kommt es zum Streit zwischen den beiden Frauen. Das zieht Turbulenzen nach sich.
M59 491 494 5;Follet, Ken;Sturz der Titanen;Historie;2010;12;1. Teil einer 3-bändigen Jahrhundertsaga, die in 3 Ländern spielt. Vor dem Hintergrund einer dramatischen Epoche, die mit dem Jahre 1914 beginnt und mit dem Fall der Mauer 1989 endet, entfalten sich die Schicksale von 3 Familien und 3 Generationen.
M60 051 220 8;Follett, Ken;Die Säulen der Erde;Historie;1997;12;England 1123-1173. Es ist eine Zeit blutiger Auseinandersetzungen zwischen Adel, Klerus und einfachem Volk, das unter Ausbeutung und Not leidet. Philip, der junge Prior von Kingsbridge, träumt davon, eine Kathedrale zu erreichten. Er und sein Baumeister Tom Builder, dessen Stiefsohn Jack und die Grafentochter Aliena müssen sich in einem Kampf auf Leben und Tod gegen ihre Widersacher behaupten, ehe der Traum Gestalt annimmt und die Säulen der Erde buchstäblich in den Himmel zu wachsen beginnen …
M59 281 920 1;Fontane, Theodor;Ein Sommer in London;Belletristik;2010;1;Diese 35 kurzen Reiseberichte entstanden, als Theodor Fontane 1852 zum zweiten Mal nach London reiste. Die Stadt faszinierte ihn, und sowohl die guten als auch die abstoßenden Seiten des Großstadtlebens hielt er mit spitzer Feder fest.
M60 051 214 0;Fortier, Anne;Julia;Belletristik;2010;8;"Die junge Amerikanerin Julia reist auf den Spuren der 1. Fassung von ""Romeo und Julia"" nach Italien. Diese längst vergessene Fehde zwischen den verfeindeten Familien Tolomei und Salimbeni scheint in Julias Leben eine besondere Bedeutung zu bekommen ..."
M59 281 901 4;Franz, Andreas;Spiel der Teufel;Krimi;2006;8;Der Kieler Oberkommissar Gerd Wagner soll sich umgebracht haben. Seine schöne Witwe Nina glaubt jedoch nicht an Selbstmord. Kommissar Sören Henning und seine Kollegin Lisa Santos beginnen zu ermitteln. Die Spur führt in eine Schönheitsklinik.
M59 491 457 2;Franzen, Jonathan;Freiheit;Belletristik;2010;2 (MP3);Der Roman einer Familie ist zugleich ein Epos der letzten 30 Jahre amerikanischer Geschichte.
M59 491 464 1;French, Tana;Grabesgrün;Krimi;2008;6;Ein kleines Mädchen wird ermordet und auf einem Opferaltar im Wald nahe dem irischen Ort Knocknaree abgelegt. Die Ermittler Rob Ryan und Cassie Maddox übernehmen den Fall, doch die Recherchen gestalten sich äußerst schwierig.
M59 412 813 4;French, Tana;Totengleich;Krimi;2009;6;"Cassie Maddox ist geschockt: Die Tote, zu der die Polizistin gerufen wird, gleicht ihr aufs Haar. Um den Mordfall zu lösen, eignet sich Cassie das Leben der Toten an und kehrt zurück in die seltsame Wohngemeinschaft, deren 5. Mitglied ""Lexie"" war."
M59 281 923 7;Gavalda, Anna;Ein geschenkter Tag;Belletristik;2010;2;Die Geschwister Simon, Garance und Lola machen sich auf den Weg zu ihrem Bruder Vincent, der in der Provinz auf einem Schloss in der Touraine lebt, anstatt zu einer Hochzeit zu gehen. Überraschend erleben sie zusammen einen herrlichen Frühlingstag mit vielen Kindheitserinnerungen.
M59 281 934 3;Geiger, Arno;Alles über Sally;Belletristik;2010;6;Minutiös beschriebenes und treffend charakterisiertes Psychogramm einer jahrzehntelangen Ehe- und Liebesbeziehung.
M60 051 227 0;Gernhardt, Robert;Ein Gutes Schwein bleibt nicht allein und andere Tiergeschichten;Belletristik;2008;1;gelesen von Harry Rowohlt
M60 051 232 6;Gernhardt, Robert;In Zungen reden;Belletristik;2001;2;Stimmenimitationen von Gott bis Jandl
M60 051 233 8;Gernhardt, Robert;Was das Gedicht alles kann: Alles;Lyrik;2010;5;eine Führung durch das Haus der Poesie
M59 281 959 1;Gernhardt, Robert;Fertig ist das Sackgedicht;Humor;2009;1;Im April 1998 trat Robert Gernhardt (1937-2006) auf die Bühne des Bonner Pantheons und präsentierte sich selbt. Das Publikum lernte seine 13 Gesichter kennen, etwa den gottgesandten Propheten, den anspruchsvollen Märchenonkel oder den weitblickenden Kulturkorrespondenten.
M59 281 930 6;Gier, Kerstin;Ach, wär´ ich nur zu Hause geblieben;Belletristik;2008;4;Amüsante Geschichten von ganz normalen Urlaubserlebnissen: Spinnen in Hotelzimmern, Seilbahnfahrten im Sturm (der bei jedem Erzählen heftiger wird), selbsternannten Sprachgenies unter den Bekannten oder Freunde, die gern sparen - auf Kosten anderer.
M59 281 917 X;Glattauer, Daniel;Darum;Belletristik;2010;5;Ein Journalist begeht einen Mord. Niemand hätte ihm dies zugetraut und es gibt offenbar auch kein Motiv. Danach wartet er auf seine Verurteilung. Warum?
M60 051 231 4;Glattauer, Daniel;Gut gegen Nordwind;Belletristik;2010;4;Aus einer ursprünglich falsch adressierten E-Mail entwickelt sich via Internet ein immer intensiver werdender, sehr persönlicher Austausch von Gedanken und Gefühlen zweier Menschen.
M59 281 980 9;Goldt, Max;Nicht jede kalte Säge schafft es nach New York;Humor-Satire;2009;2;vierzehn Texte 1987 - 2008 von  Max Goldt
M59 281 973 X;Goldt, Max;Nichts als Punk und Pils und Staatsverdruß;Humor-Satire;2008;2;"zwölf Texte ; 1994 - 2007 / Max Goldt"
M59 281 972 8;Goldt, Max;Unsere traurige technische Zukunft;Humor-Satire;2010;2;vierzehn Texte 1987 - 2008 von  Max Goldt
M60 051 178 2;Goosen, Frank;Radio Heimat;Humor-Satire;2010;2;Heitere Geschichten über Land und Leute des Ruhrgebiets aus der Feder des bekannten Kabarettisten.
M59 281 978 9;Grün, Anselm;Leben ist jetzt;Belletristik;2009;2;Die Kunst des Älterwerdens.
M58 828 257 2;Hagena, Katharina;Der Geschmack von Apfelkernen;Belletristik;2008;4;Erinnerungen an die Sommerferien bei der Großmutter und die geheimnisvollen Geschichten der Tanten
M59 412 808 9;Hefner, Ulrich;Die Wiege des Windes;Krimi;2010;9;Inselkrimi
M59 281 915 6;Hegemann, Helene;Axolotl Roadkill;Belletristik;2010;4;Mifti ist 16 und lebt als Halbwaise bei Vater und Halbgeschwistern in Berlin. In ihrem Tagebuch schreibt sie über ihr Leben als 'pseudo-belastungsgestörtes' Problemkind, ihren Drogenkonsum, ihr Schuleschwänzen - sie sucht den Ausweg aus der Lethargie.
"M59 280 628 2;
 M59 281 911 9;
 M59 205 762 0";Heidenreich /Schroeder;Alte Liebe;Belletristik;2009;3;Lore und Harry sind seit 40 Jahren verheiratet, er ist pensioniert, sie arbeitet noch als Bibliothekarin. Die 3. Hochzeit ihrer Tochter Gloria mit einem steinreichen Industriellen, der ihr Vater sein könnte, wirft bei den Alt-68ern die Frage auf: Was haben wir falsch gemacht?
M60 051 190 7;Heldt, Dora;Tante Inge haut ab;Belletristik;2009;3;Urlaub auf Sylt! Freudig begrüßt Christine (46) am Bahnhof ihren Johann, da tippt das Unheil ihr auf die Schulter: Die Frau mit dem roten Hut ist tatsächlich Tante Inge (64), Papas jüngere Schwester. Aber was macht sie allein auf Sylt? Noch dazu mit so vielen Koffern?
M59 412 807 7;Herrmann, Heike, Hofstetter, Ulrich (Hrsg.);Blinde Schönheit  ;Belletristik;2009;3;Authentische Texte und Fotos von blinden Frauen
M600512269;Hesse, Hermann;Mit der Reife wird man immer jünger;Belletristik;2010;1;Betrachtungen und Gedichte über das Alter
M59 281 950 5;Hirschausen, Eckart v.;Glück kommt selten allein;Humor-Satire;2009;2;Glück ist machbar, das ist die Quintessenz aus E.v. Hirschhausens Überlegungen zu Erfüllung und Zufriedenheit. Mit Witz und Hintersinn verhilft er auch bei diesem Thema seinen Hörern zu manchem humorvollen Aha-Erlebnis.
M59 281 974 1;Höffer, Donata (Hrsg.);Afrikanische Märchen;Belletristik;2009;1;Fünf afrikanische Märchen aus Ghana und Nigeria mit dem Zauber und der fremden, exotischen Atmosphäre des schwarzen Kontinents.
M600512233;Jaud, Tommy;Hummeldumm;Belletristik;2010;5;Matze sitzt mit Freundin Sina in einem Kleinbus in Namibia und wird kreuz und quer über die Schotterpisten geschaukelt. Eigentlich sollte er sofort 5.000 Euro für die Wohnung überweisen, die er vor dem Abflug reserviert hat, aber der Akku seines Handys ist leer und der nächste Internet-Anschluss kilometerweit weg ...
M600512221;Jaud, Tommy;Millionär;Belletristik;2009;4;Das Buch ist eine Fortsetzung des Romans Vollidiot und handelt erneut von Simon Peters und seinem chaotischen Leben.
M594914933;kein Autor;Kafka, Katze, Kakerlake & Co.;Belletristik;2008;2;Tiere im Text
M600511932;Kawakami, Hiromi;Der Himmel ist blau, die Erde ist weiß;Belletristik;2010;4;Eine Liebesgeschichte: Eine Frau, die sich bereits von der Liebe verabschiedet hat, verliebt sich in ihren früheren Lehrer. Die Autorin erhielt für diesen Roman im Jahr 2000 einen der wichtigsten japanischen Literaturpreise
M600511920;Kehlmann, Daniel;Unter der Sonne;Belletristik;2010;2;Sensible und suggestive Erzählungen über die Innenwelt von Menschen, die sich aus der Erstarrung ihrer Existenz zu befreien versuchen und dabei dennoch nicht zu einer eigenen Identität finden.
M59 491 459 6;kein Autor;Hören bis zum Ende der Nacht - 8 Krimis aus 8 CDs;Krimi;2010;8;"9 Krimis grosser Bestsellerautoren ; vollständige Lesungen / von Frank Schätzing ; Val McDermid ; Edgar Wallace ..."
M592819790;kein Autor;Mein großes Familiensonntagsfrühstücksvorlesebuch;Belletristik;2010;1;Senta Berger liest Geschichten von der Freundschaft, vom Glück, gegen das Traurigsein, von der Entstehung der Jahreszeiten, vom Wetter, über Mut und Selbstbewusstsein vor. 
M59 281 949 7;kein Autor;Lacharchiv - Hausschatz des deutschen Humors;Belletristik;2010;4;"Lesung / Busch ; Goethe ; Heine"
M59 281 962 3;kein Autor;Lieber Gott, du bist der Boss, Amen Dein Rhinozeros;Humor-Satire;2009;2;komische Gedichte von Heinrich Heine bis Robert Gernhardt / live in Barmbeck mit Harry Rowohlt & Christian Maintz
M59 491 465 3;kein Autor;Wie seine eigene Spucke schmeckt, das weiß man nicht;Humor-Satire;2010;2;Texte von Joachim Ringelnatz. Live in Eppendorf mit Harry Rowohlt & Christian Maintz
M59 281 946 1;kein Autor;Marx & Engels intim. Briefwechsel;Briefwechsel;2010;1;Harry Rowohlt und Gregor Gysi aus dem unzensierten Briefwechsel
M59 281 925 0;Khadra, Yasmina;Die Schuld des Tages an die Nacht;Belletristik;2010;6;Ein Algerier erzählt rückblickend von seiner Kindheit und Jugend im Algerien der Unabhängigkeitszeit.
M59 281 919 3;Khoury, Raymond;Menetekel;Thriller;2010;6;Während einer Live-Übertragung aus der Antarktis taucht am Himmel ein leuchtendes rundes Objekt auf, das die Klimaforscher vor Ort und das weltweite Fernsehpublikum gleichermaßen fasziniert wie verunsichert. Für die Journalistin Grace beginnt ein Albtraum.
M60 051 181 4;König, Johann;Der Königsweg;Humor-Satire;2010;3;Mit launigen Texten und Gedichten schreibt der westfälische Komiker Johann König gegen die Kunst der gepflegten Langeweile an. Schnappschüsse aus seinem (Berufs-)Leben verschönern das kompakte Hörbuch.
M588282584;Koglin, Michael;Todesfalle Speicherstadt;Krimi;2010;1;Spannender Krimi aus der Speicherstadt in Hamburg
M59 281 907 5;Lappert, Rolf;Nach Hause schwimmen;Belletristik;2008;8;Wilbur ist vom Leben gezeichnet: Die Mutter stirbt bei seiner Geburt, der Vater macht sich vor Kummer aus dem Staub, der beste Freund verursacht einen Unfall, bei dem die geliebte Großmutter stirbt. Erst Aimee macht ihm Mut und überzeugt ihn davon, dass er nicht nur ein Verlierer ist.
